
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 14.000 [*australia | abstract | *australia (em ingles: australia, pronunciado: [streli, -], coloquialmente: [-j]), oficialmente comunidade da australia (em ingles: commonwealth of australia) e um pais do hemisferio sul, localizado na oceania, que compreende a menor area continental do mundo (\"continente australiano\"), a ilha da tasmania e varias ilhas adjacentes nos oceanos indico e pacifico. o continente-ilha, como a australia por vezes e chamada, e banhado pelo oceano indico, ao sul, e a oeste pelo mar de timor, mar de arafura e estreito de torres, a norte, e pelo mar de coral e mar da tasmania, a leste. atraves destes mares, tem fronteira maritima com a indonesia, timor-leste e papua-nova guine, a norte, e com o territorio frances da nova caledonia, a leste, e a nova zelandia a sudeste. durante cerca de quarenta mil anos antes da colonizacao europeia iniciada no final do seculo xviii, o continente australiano e a tasmania eram habitadas por cerca de 250 nacoes individuais de aborigenes. apos visitas esporadicas de pescadores do norte e pela descoberta europeia por parte de exploradores holandeses em 1606, a metade oriental da australia foi reivindicada pelos britanicos em 1770 e inicialmente colonizada por meio do transporte de presos para a colonia de nova gales do sul, fundada em 26 de janeiro de 1788. a populacao aumentou de forma constante nos anos seguintes, o continente foi explorado e, durante o seculo xix, outros cinco grandes territorios autogovernados foram estabelecidos. em 1 de janeiro de 1901, as seis colonias se tornaram uma federacao e a comunidade da australia foi formada. desde a federacao, a australia tem mantido um sistema politico democratico liberal estavel e continua a ser um reino da commonwealth. a populacao do pais e de 23,4 milhoes de habitantes, com cerca de 60% concentrados em torno das capitais continentais estaduais de sydney, melbourne, brisbane, perth, adelaide e darwin. sua capital e camberra, localizada no territorio da capital australiana. tecnologicamente avancada e industrializada, a australia e um prospero pais multicultural e tem excelentes resultados em muitas comparacoes internacionais de desempenhos nacionais, tais como saude, esperanca de vida, qualidade de vida, desenvolvimento humano, educacao publica, liberdade economica, bem como a protecao de liberdades civis e direitos politicos. as cidades australianas tambem rotineiramente situam-se entre as mais altas do mundo em termos de habitabilidade, oferta cultural e qualidade de vida. a australia e o pais com o segundo maior indice de desenvolvimento humano do mundo (idh). e membro da organizacao das nacoes unidas (onu), g20, comunidade das nacoes, anzus, da organizacao para a cooperacao e desenvolvimento economico (ocde), bem como a organizacao mundial do comercio (omc).] - [12.000 1.000 1.000]
20 13.184 [*grande_premio_de_aragao_de_motovelocidade_de_2010 | firstridermotogpcountry | *australia] - [11.184 1.000 1.000]
21 13.184 [*grande_premio_da_italia_de_motovelocidade_de_2009 | firstridermotogpcountry | *australia] - [11.184 1.000 1.000]
22 13.184 [*grande_premio_da_italia_de_motovelocidade_de_2008 | fastridermotogpcountry | *australia] - [11.184 1.000 1.000]
23 13.184 [*grande_premio_da_italia_de_motovelocidade_de_2008 | secondridermotogpcountry | *australia] - [11.184 1.000 1.000]
24 13.168 [*grande_premio_da_malasia_de_motovelocidade_de_2009 | firstridermotogpcountry | *australia] - [11.168 1.000 1.000]
25 13.168 [*grande_premio_da_malasia_de_motovelocidade_de_2007 | fastridermotogpcountry | *australia] - [11.168 1.000 1.000]
26 13.168 [*grande_premio_da_malasia_de_motovelocidade_de_2007 | firstridermotogpcountry | *australia] - [11.168 1.000 1.000]
27 13.154 [*grande_premio_de_portugal_de_motovelocidade_de_2007 | thirdridermotogpcountry | *australia] - [11.154 1.000 1.000]
28 13.154 [*grande_premio_da_alemanha_de_motovelocidade_de_2008 | poleridermotogpcountry | *australia] - [11.154 1.000 1.000]
29 13.154 [*grande_premio_da_alemanha_de_motovelocidade_de_2008 | fastridermotogpcountry | *australia] - [11.154 1.000 1.000]


Time: 10869502100ns
Time: 10869.5021ms
Time: 10.8695021s
